资料类别	资料名称	文件名	相对路径	来源人员套组	原始来源文档	原始图片序号	图片宽度px	图片高度px	文件格式
公司印章	公司印章	公司印章.png	公司信息库/公司印章.png	人员信息1	三门峡人员模版1.docx	1	347	347	png
营业执照	营业执照	营业执照.jpeg	公司信息库/营业执照.jpeg	人员信息1	三门峡人员模版1.docx	2	1269	1796	jpeg
